Id,SalePrice
1461,108703.61795715691
1462,158344.2611425514
1463,184511.70458584133
1464,183182.46156141296
1465,200521.87053781154
1466,175707.6755902727
1467,169585.07371679397
1468,168229.46508847593
1469,189789.60289300486
1470,126558.25045078818
1471,186930.91745620573
1472,93475.94773378811
1473,88093.9049241874
1474,146733.83707699715
1475,129949.56510565298
1476,368379.98038817686
1477,247903.43335292884
1478,317914.3265145848
1479,303299.85452589695
1480,519951.4992063095
1481,322564.7582306027
1482,210300.932037802
1483,166703.94562470695
1484,169454.95901998103
1485,182166.53350548816
1486,188302.24541445638
1487,321331.4369281641
1488,238582.47590135972
1489,203616.792877823
1490,212446.86506877936
1491,191744.76778752974
1492,97778.81885899593
1493,188320.9532501526
1494,297873.89491473266
1495,308083.4543973338
1496,226337.3140912516
1497,184484.944308394
1498,168226.259592621
1499,167281.53318454724
1500,162663.18337743825
1501,176157.19371971636
1502,156692.39660668897
1503,211262.99827847423
1504,234513.03112719886
1505,218936.3605408306
1506,187049.25720736204
1507,220650.21632627293
1508,192290.22540388122
1509,161761.85639695165
1510,144481.35979870165
1511,144509.3424319776
1512,164309.1075678651
1513,134725.27295940433
1514,146598.00707602635
1515,183788.33480860767
1516,159169.7719557989
1517,150355.1998916892
1518,136842.84683901674
1519,200290.30787532378
1520,134978.70939371106
1521,125477.66770361924
1522,165916.62913473212
1523,107350.28422006092
1524,111912.21651287805
1525,123956.57929609471
1526,131997.5789602674
1527,104280.54561278076
1528,142393.27728821398
1529,150726.37775153245
1530,171400.9505943147
1531,121788.79972571247
1532,99954.71310996971
1533,139748.34928466313
1534,120283.92254480744
1535,159194.91501328204
1536,109255.82562261722
1537,68191.05389582338
1538,144134.70117996482
1539,175760.9623467183
1540,95434.33527641396
1541,135123.6606446741
1542,153080.94072445887
1543,197445.06362710704
1544,84228.57859916116
1545,115230.50372418208
1546,119053.26802164473
1547,132504.6510457928
1548,129209.78517417819
1549,115793.52222899711
1550,127389.68662395109
1551,116952.85277503241
1552,138667.52478318205
1553,130836.78919659101
1554,124669.01191391039
1555,178089.59022889743
1556,116786.29620267359
1557,109930.70975771628
1558,108982.35607181759
1559,67543.22001627741
1560,133527.6041459491
1561,131741.56390828927
1562,137535.56374891914
1563,122111.04289222759
1564,160356.67518953592
1565,150894.46907806193
1566,246137.98949613422
1567,88073.67726165496
1568,234832.2712076251
1569,136717.10984525536
1570,123561.5291279425
1571,120819.57614634243
1572,131496.3989609315
1573,228680.64671926104
1574,123539.38465124251
1575,216089.45925741477
1576,201885.02662426757
1577,191894.65002144364
1578,152799.82901998158
1579,147517.3608968232
1580,199165.30466479
1581,150566.40631227504
1582,132456.5143537056
1583,310367.6008994733
1584,234323.36484859046
1585,144193.6631292517
1586,84078.94006585082
1587,90915.47567393426
1588,140377.58872179326
1589,98182.30404750296
1590,131006.74143279599
1591,90712.72936282016
